Resetting bucketsort data structure:
	Max interaction radius = 0.001
	Periodic = (1,1,0)
	Number of cells along each axis = (34,34,34)
	Cell sizes along each axis = (0.001,0.001,0.001)
0.000127734 0.00897532 -0.000179506
0.000127734 -0.00897532 0.000179506
0.000127751 0.00883924 -0.000176785
0.000127751 -0.00883924 0.000176785
0.000127769 0.00870523 -0.000174105
0.000127769 -0.00870523 0.000174105
0.000127786 0.00857324 -0.000171465
0.000127786 -0.00857324 0.000171465
0.000127803 0.00844326 -0.000168865
0.000127803 -0.00844326 0.000168865
0.000127819 0.00831525 -0.000166305
0.000127819 -0.00831525 0.000166305
0.000127836 0.00818918 -0.000163784
0.000127836 -0.00818918 0.000163784
0.000127852 0.00806502 -0.0001613
0.000127852 -0.00806502 0.0001613
0.000127868 0.00794275 -0.000158855
0.000127868 -0.00794275 0.000158855
0.000127883 0.00782232 -0.000156446
0.000127883 -0.00782232 0.000156446
0.000127899 0.00770373 -0.000154075
0.000127899 -0.00770373 0.000154075
0.000127914 0.00758693 -0.000151739
0.000127914 -0.00758693 0.000151739
0.000127929 0.0074719 -0.000149438
0.000127929 -0.0074719 0.000149438
0.000127944 0.00735862 -0.000147172
0.000127944 -0.00735862 0.000147172
0.000127958 0.00724705 -0.000144941
0.000127958 -0.00724705 0.000144941
0.000127972 0.00713718 -0.000142744
0.000127972 -0.00713718 0.000142744
0.000127987 0.00702897 -0.000140579
0.000127987 -0.00702897 0.000140579
0.000128 0.0069224 -0.000138448
0.000128 -0.0069224 0.000138448
0.000128014 0.00681745 -0.000136349
0.000128014 -0.00681745 0.000136349
0.000128027 0.00671409 -0.000134282
0.000128027 -0.00671409 0.000134282
0.000128041 0.00661229 -0.000132246
0.000128041 -0.00661229 0.000132246
0.000128054 0.00651204 -0.000130241
0.000128054 -0.00651204 0.000130241
0.000128067 0.00641331 -0.000128266
0.000128067 -0.00641331 0.000128266
0.000128079 0.00631608 -0.000126322
0.000128079 -0.00631608 0.000126322
0.000128092 0.00622032 -0.000124406
0.000128092 -0.00622032 0.000124406
